,Consumed by Wants,Angel Wars,Black,EE,0,0,Pl,,C, $0.25 ,, $-   ,,,0,"Place this card on a Lost Soul.  While this card remains, holder?s black brigade demons each gain 4/4.",,,,,,,,
,Cornered,Angel Wars,Black,EE,0,0,Pl,,C, $0.25 ,, $-   ,,,0,"Place this card on an occupied site.  While in play, negate David?s Harp, Chariot of Fire, and ?withdraw? abilities on good cards.",,,,,,,,
,Created by Christ,Angel Wars,M u l t i,GE,1,1,D,,C, $0.25 ,, $-   ,,,0,Discard all evil enhancements in battle.  Cannot be negated by an evil card.,,,,,,,,
,Cubus,Angel Wars,Crimson,EC,5,7,B,,R, $2.00 ,, $-   ,,,0,You may search draw pile for ?Spiritual Realm? and put it in play.  Cubus may band to a female Evil Character.,,,,,,,,
,Dangerous Road,Angel Wars,Gold,site,,,Pr,,C, $0.25 ,, $-   ,,,0,Evil cards on this site are protected from DragonRaid.,,,,,,,,
,Dangerous Way,Angel Wars,Red,site,,,Pr,,C, $0.25 ,, $-   ,,,0,Evil cards on this site are protected from DragonRaid.,,,,,,,,
,Defeating the Enemy,Angel Wars,Silver,GE,0,0,D,,C, $0.25 ,, $-   ,,,0,Discard a demon in battle.,,,,,,,,
,Defiant,Angel Wars,Pale Green,EE,0,0,Pl,,C, $0.25 ,, $-   ,,,0,"Place this card on a demon.  While this card remains, Three Nails does not prevent that demon from blocking and this demon cannot be ignored.",,,,,,,,
,Dejected,Angel Wars,Crimson,EE,0,0,Pl,,C, $0.25 ,, $-   ,,,0,"Place this card on a Lost Soul.  If it is not rescued by the end of the current player?s next turn, discard this card to place the Lost Soul beneath owner?s draw pile.",,,,,,,,
,Demonic Deception,Angel Wars,Crimson,EE,0,0,R,,R, $1.50 ,, $-   ,,,0,"Return a Hero in play to the top of owner?s draw pile. If used by a demon, this cannot be prevented by a good card.",,,,,,,,
,Demonic Mist,Angel Wars,Pale Green,EE,3,3,N,,C, $0.25 ,, $-   ,,,0,Negate all card drawing abilities.  Discard a card at random from each opponent?s hand.  ,,,,,,,,
,Demonic Snare,Angel Wars,Gray,EE,0,0,T,,R, $2.00 ,, $-   ,,,0,Capture a Hero in play.,,,,,,,,
,Demonic Stronghold,Angel Wars,Multi,Fortress,,,#,,R, $2.00 ,, $-   ,,,0,"If holder?s demon captures a Hero, place that Hero here.  Holder?s demons gain 1/1 for each Hero here.",,,,,,,,
,Desolate City,Angel Wars,Green,site,,,Pr,,C, $0.25 ,, $-   ,,,0,Evil cards on this site are protected from DragonRaid.,,,,,,,,
,Destroying the Stronghold,Angel Wars,Silver,GE,3,3,D,,C, $0.25 ,, $-   ,,,0,Discard one Demonic Stronghold in play.  Place its contents beneath owner?s draw pile.,,,,,,,,
,Ears to Hear,Angel Wars,M u l t i,GE,0,0,Pl,,C, $0.25 ,, $-   ,,,0,"Place this card on a Lost Soul (except the ?Lost Souls? card).  Discard all evil cards placed on that Lost Soul.  While this card remains, negate the special ability on the Lost Soul.",,,,,,,,
,Eli,Angel Wars,Silver,GC,6,7,Y,W,C, $0.25 ,, $-   ,,,0,Weapon class enhancements used by Eli cannot be negated or discarded by an opponent.,,,,,,,,
,Enticed,Angel Wars,Yellow,EE,0,0,Pl,,C, $0.25 ,, $-   ,,,0,"Place this card on a Lost Soul.  While this card remains, holder?s demons each gain 3/3.",,,,,,,,
,Equipped for the Mission,Angel Wars,Silver,GE,0,0,S,,C, $0.25 ,, $-   ,,,0,"Set a Hero aside.  On return, reveal one card from top of draw pile for each turn Hero was set aside.  Take up to two good cards revealed into hand.  Shuffle the rest into your draw pile.",,,,,,,,
,Escape,Angel Wars,Crimson,EE,0,0,R,,C, $0.25 ,, $-   ,,,0,Interrupt the battle and return your Evil Character to your hand.,,,,,,,,
,Evil Advice,Angel Wars,Gray,EE,0,0,Pl,,C, $0.25 ,, $-   ,,,0,"Place this card on a Lost Soul.  If it is not rescued by the end of the current player?s next turn, discard this card to place the Lost Soul beneath owner?s draw pile.",,,,,,,,
,Evil Arises,Angel Wars,Black,EE,3,3,B,,C, $0.25 ,, $-   ,,,0,"Band one of your demons into battle from territory, hand, or The Pit.",,,,,,,,
,Eyes Open,Angel Wars,Silver,GE,4,2,Y,,C, $0.25 ,, $-   ,,,0,Look at opponent?s hand.,,,,,,,,
,Failed Objective,Angel Wars,Yellow,EE,0,0,Pr,,U, $7.00 ,, $-   ,,,0,Discard all Evil Characters in battle.  All Lost Souls are protected from being rescued by Heroes this turn.,,,,,,,,
,Fear of Danger,Angel Wars,Pale Green,EE,0,0,Pl,,C, $0.25 ,, $-   ,,,0,Place this card on a Hero in a territory.  Hero cannot enter battle until this card is removed.,,,,,,,,
,Fearfulness,Angel Wars,Gray,EE,0,0,Y,,C, $0.25 ,, $-   ,,,0,Look at opponent?s hand and select one good card in that hand.  Place that card beneath owner?s draw pile.,,,,,,,,
,Ferocious Attack,Angel Wars,Black,EE,6,0,F,,C, $0.25 ,, $-   ,,,0,Evil Character has first strike.  Cannot be prevented by a good card.,,,,,,,,
,Fireball,Angel Wars,Yellow,EE,3,0,D,,R, $1.00 ,, $-   ,,,0,"If used by a demon and Shield of Faith is not in battle, discard a Hero in battle. ",,,,,,,,
,Flying Flames,Angel Wars,Crimson,EE,3,0,D,,R, $1.00 ,, $-   ,,,0,"If used by a demon and Shield of Faith is not in battle, discard a Hero in battle.",,,,,,,,
,Freeing Earthquake,Angel Wars,M u l t i,GE,0,0,B,,R, $0.50 ,, $-   ,,,0,Return up to two captured Heroes to owners? territories.  You may band one of them into battle.,,,,,,,,
,Gathering of Demons,Angel Wars,Gray,EE,0,0,S,,C, $0.25 ,, $-   ,,,0,Set a demon aside for 3 turns.  Demon gains the ability ?May band with a demon from another brigade.?,,,,,,,,
,Godspeed,Angel Wars,M u l t i,GE,5,0,F,,C, $0.25 ,, $-   ,,,0,Hero has first-strike ability.  Cannot be prevented by an evil card.,,,,,,,,
,Graven,Angel Wars,Brown,EC,6,8,D,,R, $1.00 ,, $-   ,,,0,"If Household Idols or Asherah Pole is active and rescue attempt fails, holder may discard a site.",,,,,,,,
,Guarding,Angel Wars,Silver,GE,3,4,Pr,,C, $0.25 ,, $-   ,,,0,Protect all Lost Souls and human Heroes from discard abilities this turn.,,,,,,,,
,Habitation of Demons,Angel Wars,Crimson,EE,0,0,S,,U, $5.00 ,, $-   ,,,0,Set a human evil character aside for 3 turns.  Character gains the ability ?May band to a demon.?,,,,,,,,
,Hammer of Heaven,Angel Wars,Silver,GE,3,2,N,W,C, $0.25 ,, $-   ,,,0,Holder may return this card to the top of draw pile to negate the special ability on a demon.,,,,,,,,
,Hostile Environment,Angel Wars,Silver,site,,,Pr,,C, $0.25 ,, $-   ,,,0,Evil cards on this site are protected from DragonRaid.,,,,,,,,
,I am Creator,Angel Wars,Red,Covenant,3,3,Se,,C, $0.25 ,, $-   ,,,0,"If you do not have a Hero in your territory, or set-aside area, then search draw pile for a Hero and put it in your territory.  Cannot be interrupted. Limit once during each of your turns.",,,,,,,,
,I am Grace,Angel Wars,Red,Covenant,3,4,D,,C, $0.25 ,, $-   ,,,0,"Upon activation, you may discard a good card from hand to discard an evil enhancement in play.",,,,,,,,
,I am Healing,Angel Wars,Gold,Covenant,0,4,H,,C, $0.25 ,, $-   ,,,0,Holder may heal all of holder?s Heroes in play.  May be used twice.,,,,,,,,
,I am Holy,Angel Wars,Blue,Covenant,5,2,D,,C, $0.25 ,, $-   ,,,0,"Upon activation, holder may discard a good card from hand to make an opponent discard an evil card from hand.  If opponent has no evil cards in hand, opponent must reveal hand.",,,,,,,,
,I am Justice,Angel Wars,Silver,Covenant,5,2,D,,R, $2.00 ,, $-   ,,,0,"If an Evil Character discards your Hero this battle, you may discard that Evil Character at the end of the turn.  Limit two discards per game.",,,,,,,,
,I am Love,Angel Wars,White,Covenant,3,4,Se,,C, $0.25 ,, $-   ,,,0,"If a human Evil Character (except warrior class) is blocking your Hero, interrupt the battle and search discard pile for a white brigade enhancement with ?ignore? in the special ability and play it. Limit once per turn. ",,,,,,,,
,I am Mercy,Angel Wars,Purple,Covenant,2,5,Pr,,C, $0.25 ,, $-   ,,,0,Protect holder?s hand and draw pile from discard abilities on evil cards.,,,,,,,,
,I am Patience,Angel Wars,Green,Covenant,2,5,C,,C, $0.25 ,, $-   ,,,0,"At the end of your turn, if your rescue attempt failed you may convert one human Evil Character (except warrior class) to a green brigade Hero.",,,,,,,,
,I am Redemption,Angel Wars,Gold,Covenant,3,4,R,,C, $0.25 ,, $-   ,,,0,Return your captured Heroes to your territory.  Cannot be negated by an evil card.,,,,,,,,
,I am Salvation,Angel Wars,Green,Covenant,3,4,N,,C, $0.25 ,, $-   ,,,0,Negate all special abilities on Lost Soul cards (except the ?Lost Souls? card).  May be used twice.,,,,,,,,
,I am Sustainer,Angel Wars,Silver,Covenant,2,5,Pr,,C, $0.25 ,, $-   ,,,0,Protect holder?s Heroes from having their abilities reduced.  Restore all of holder?s Heroes to full abilities.,,,,,,,,
,I am Truth,Angel Wars,White,Covenant,2,3,Y,,C, $0.25 ,, $-   ,,,0,Good enhancements with ?ignores? in the special ability cannot be negated by evil cards.,,,,,,,,
,In the Clouds,Angel Wars,M u l t i,GE,0,0,R,,R, $2.00 ,, $-   ,,,0,Interrupt the battle and return up to two Heroes in play to owner?s hand.,,,,,,,,
,Innumerable,Angel Wars,Silver,GE,0,0,Y,,R, $1.00 ,, $-   ,,,0,"Treat this card as a nameless copy of any angel in battle.  When this card leaves battle, discard it.",,,,,,,,
,Intent to Kill,Angel Wars,Black,EE,6,0,D,,R, $2.00 ,, $-   ,,,0,Discard an evil card from hand to discard one Hero in battle.  Cannot be prevented by a good card.,,,,,,,,
,Invisible Beings,Angel Wars,Silver,GE,0,0,S,,C, $0.25 ,, $-   ,,,0,"Set aside a silver brigade Hero from your hand face down for one turn.  Hero returns to territory face down.  Hero enters battle face down and negates all special abilities on Lost Soul cards (except the ?Lost Souls? card).  When Evil Character is presented, flip Hero face up.",,,,,,,,
,Kira,Angel Wars,Silver,GC,5,7,D,W,C, $0.25 ,, $-   ,,,0,Discard an evil enhancement placed on a Lost Soul.,,,,,,,,
,Knocked to the Ground,Angel Wars,Black,EE,3,3,D,,C, $0.25 ,, $-   ,,,0,Discard one good enhancement in battle (or two if used by a demon).,,,,,,,,
,Lost Soul (Acts 23:27),Angel Wars,,Lost Soul,,,Y,,C, $0.25 ,, $-   ,,,0,"If a Hero withdraws from a rescue attempt against holder, place this card beneath owner?s draw pile.",,,,,,,,
,Lost Soul (Gal 3:13),Angel Wars,,Lost Soul,,,Pr,,R, $8.00 ,, $-   ,,,0,"While this card is in a Land of Redemption, all cards in that player?s Land of Bondage are protected from Burial.",,,,,,,,
,Lost Soul (James 1:15),Angel Wars,,Lost Soul,,,Pr,,R, $4.00 ,, $-   ,,,0,"If a lone Hero begins a rescue attempt against you, you may discard one of your demons in your territory to shuffle this card back into owner?s draw pile.",,,,,,,,
,Lost Soul (Matt 19:26),Angel Wars,,Lost Soul,,,Pr,,R, $3.50 ,, $-   ,,,0,"During the first round this card is in play, it is protected from rescue except by a dominant or an angel.  ",,,,,,,,
,Lost Soul (Matt 8:34),Angel Wars,,Lost Soul,,,Y,,C, $0.25 ,, $-   ,,,0,"When you place this card in your land of bondage, you may remove a Lost Soul from one of your sites.",,,,,,,,
,Lost Soul (Romans 3:23),Angel Wars,,Lost Soul,,,Y,,R, $9.00 ,, $-   ,,,0,"When you draw this card, each opponent must reveal the top two cards of his draw pile.  Place each revealed Lost Soul in owner?s Land of Bondage.  Place the rest beneath owner?s draw pile.",,,,,,,,
,Lurking,Angel Wars,Multi,EE,0,0,B,,R, $2.00 ,, $-   ,,,0,"Interrupt the battle and band one of your Evil Characters into battle from hand, territory, ?The Darkness?, or from face down on a site.",,,,,,,,
,Masquerading,Angel Wars,Crimson,EE,0,0,Pl,,C, $0.25 ,, $-   ,,,0,"Place this card on a demon.  While this card remains, Three Nails does not prevent this demon from blocking, and this demon cannot be ignored.",,,,,,,,
,Michael,Angel Wars,Silver,GC,12,8,Y,W,U, $15.00 ,, $-   ,,,0,Enhancements used by Michael cannot be negated.,,,,,,,,
,Michael's Sword,Angel Wars,Silver,GE,3,2,N,W,U, $7.00 ,, $-   ,,,0,Negate all immune abilities on Evil Characters and evil weapons.,,,,,,,,
,Mission Deviation,Angel Wars,Yellow,EE,0,0,Y,,R, $1.00 ,, $-   ,,,0,"If opponent plays more than one additional enhancement this battle, all Lost Soul cards are protected from being rescued by Heroes this turn.",,,,,,,,
,Mistakes Made,Angel Wars,Crimson,EE,2,4,D,,C, $0.25 ,, $-   ,,,0,"Discard a card at random from opponent?s hand. If opponent has 8 or more cards in hand when this card is played, this cannot be negated.",,,,,,,,
,Morg,Angel Wars,Black,EC,9,10,Y,W,U, $8.00 ,, $-   ,,,0,"Release all Heroes from your Demonic Stronghold and return them to owner?s territory.  For each Hero released this way, you may search your draw or discard pile for an evil enhancement depicting Morg.",,,,,,,,
,Morgan,Angel Wars,Brown,EC,10,11,#,W,R, $4.00 ,, $-   ,,,0,"If holder has another demon in play, decrease a Hero by 2/2 until end of turn.",,,,,,,,
,Multitude,Angel Wars,Silver,GE,0,0,#,,C, $0.25 ,, $-   ,,,0,Multiply the abilities (*/*) on a Hero card by the number of Evil Characters in battle.,,,,,,,,
,Not Alone,Angel Wars,Silver,GE,0,2,Im,,R, $0.25 ,, $-   ,,,0,All Heroes in battle are immune to selected evil brigade.,,,,,,,,
,Oblivious,Angel Wars,Crimson,EE,0,0,Pl,,C, $0.25 ,, $-   ,,,0,"Place this card on a Lost Soul.  While this card remains, that Lost Soul cannot be rescued by an angel. Cannot be negated.",,,,,,,,
,Obsidian Minion,Angel Wars,Yellow,EC,4,4,B,,R, $1.00 ,, $-   ,,,0,May band to Obsidian Minion.  Evil banding abilities cannot be negated by good cards.,,,,,,,,
,Obsidian Minion,Angel Wars,Gray,EC,4,4,B,,C, $0.25 ,, $-   ,,,0,May band to Obsidian Minion. This ability cannot be prevented by a silver brigade Hero.,,,,,,,,
,Obsidian Minion,Angel Wars,Black,EC,4,4,B,,C, $0.25 ,, $-   ,,,0,May band to Obsidian Minion. This ability cannot be prevented by a silver brigade Hero.,,,,,,,,
,Obsidian Minion (3 Line),Angel Wars,Yellow,EC,4,4,B,,C, $0.25 ,, $-   ,,,0,May band to Obsidian Minion. This ability cannot be prevented by a silver brigade Hero.,,,,,,,,
,Obsidian Minion (4 Line),Angel Wars,Yellow,EC,4,4,B,,C, $0.25 ,, $-   ,,,0,May band to Obsidian Minion. This ability cannot be prevented by a silver brigade Hero.,,,,,,,,
,Outnumbered,Angel Wars,Yellow,EE,0,0,B,,R, $2.00 ,, $-   ,,,0,Band any number of evil characters from your hand or territory into battle.,,,,,,,,
,"Paladin, the Fighter",Angel Wars,Silver,GC,7,7,Pr,W,C, $0.25 ,, $-   ,,,0,"Protect all Lost Souls from being discarded, shuffled, or placed beneath draw pile this turn.",,,,,,,,
,Panic Demon,Angel Wars,Yellow,EC,2,4,B,,C, $0.25 ,, $-   ,,,0,"If rescue attempt fails, discard the top card of opponent?s draw pile.  May band to Panic Demon.  ",,,,,,,,
,Panic Demon,Angel Wars,Crimson,EC,2,4,B,,C, $0.25 ,, $-   ,,,0,"If this character is banded into battle, you may draw a card.  May band to Panic Demon. ",,,,,,,,
,Panic Demon,Angel Wars,Gray,EC,2,4,B,,C, $0.25 ,, $-   ,,,0,"If rescue attempt fails, return a random card from opponent?s hand to the top of owner?s draw pile.   May band to Panic Demon. ",,,,,,,,
,Panic Demon,Angel Wars,Black,EC,2,4,B,,C, $0.25 ,, $-   ,,,0,"If this character is banded into battle, negate all good search abilities this battle.  May band to Panic Demon.",,,,,,,,
,Panic Demon,Angel Wars,Pale Green,EC,2,4,B,,C, $0.25 ,, $-   ,,,0,"If rescue attempt fails, you may place this card on a Hero in a territory.  Hero cannot enter battle while this Panic Demon remains.  May band to Panic Demon.",,,,,,,,
,Panic Demon,Angel Wars,Brown,EC,2,4,B,,C, $0.25 ,, $-   ,,,0,"If this character is banded into battle, return a Lost Soul in opponent?s site to general Land of Bondage.  May band to Panic Demon. ",,,,,,,,
,Partner Abandoned,Angel Wars,Yellow,EE,2,3,R,,C, $0.25 ,, $-   ,,,0,Return all but one Hero in battle to owner?s territory.,,,,,,,,
,Persistent Pestering,Angel Wars,Gray,EE,2,2,D,,C, $0.25 ,, $-   ,,,0,Opponent must discard a card from hand (or two cards if a demon is in battle).,,,,,,,,
,Place of Temptation,Angel Wars,White,site,,,Pr,,C, $0.25 ,, $-   ,,,0,Evil cards on this site are protected from DragonRaid.,,,,,,,,
,Possessed,Angel Wars,Pale Green,EE,0,0,Pl,,R, $0.50 ,, $-   ,,,0,"Place one of your demons on a Lost Soul.  While that demon remains, that Lost Soul cannot be rescued by a Hero.  Discard that demon if holder loses two battle challenges.  If the Lost Soul is taken out of play, discard that demon.",,,,,,,,
,"Praise Him, Moon",Angel Wars,M u l t i,GE,0,0,B,,R, $1.50 ,, $-   ,,,0,Selected player must reveal hand.  You may band any Hero from that hand into battle.,,,,,,,,
,Presented Before the Lord,Angel Wars,Silver,GE,0,0,S,,C, $0.25 ,, $-   ,,,0,Set Hero aside for at least one turn.  Hero gains 3/3 for every dominant played while Hero is set aside.,,,,,,,,
,Primary Objective,Angel Wars,Silver,GE,3,0,Y,,U, $7.00 ,, $-   ,,,0,"If making a rescue attempt, discard hand (minimum 7 cards) and select a lost soul in opponent?s Land of Bondage.  Opponent must discard hand or holder rescues that lost soul.  Battle continues as a battle challenge.",,,,,,,,
,Pushed Back,Angel Wars,Black,EE,0,0,R,,C, $0.25 ,, $-   ,,,0,Return one Hero to owner?s territory.  Cannot be prevented by a silver brigade card.,,,,,,,,
,Que,Angel Wars,Pale Green,EC,3,6,Y,,R, $2.00 ,, $-   ,,,0,Evil enhancements with ?Mist? in the title cannot be negated.  You may reveal your hand to protect Que from being removed from the game this turn.,,,,,,,,
,Rebellious,Angel Wars,Brown,EE,0,0,Pl,,C, $0.25 ,, $-   ,,,0,"Place this card on a Hero.  While this card remains, negate the Hero?s special ability and decrease that Hero 0/1 per turn.  Treat as a disease.",,,,,,,,
,Refined by Fire,Angel Wars,Silver,GE,0,0,#,,C, $0.25 ,, $-   ,,,0,"Select a Hero in battle.  Discard all evil cards placed on that Hero.  If that Hero survives battle, Hero gains 7/7 until discarded.",,,,,,,,
,Retreat,Angel Wars,Brown,EE,0,0,R,,C, $0.25 ,, $-   ,,,0,Interrupt the battle and return your Evil Character to your hand.,,,,,,,,
,Seeds of Doubt,Angel Wars,Crimson,EE,0,0,Pl,,C, $0.25 ,, $-   ,,,0,Place this card on a Hero in a territory.  Hero cannot enter battle while this card remains.  Discard this card when Hero?s owner makes a successful rescue attempt.,,,,,,,,
,Seeds of Rebellion,Angel Wars,Brown,EE,0,0,Pl,,C, $0.25 ,, $-   ,,,0,"Place this card on a Hero.  While this card remains, Hero decreases 0/2 per turn.  When Hero is reduced to */0 or less, remove Hero from the game.  Treat as a disease.",,,,,,,,
,Seemingly Insignificant,Angel Wars,Yellow,EE,0,0,Y,,C, $0.25 ,, $-   ,,,0,"Reveal one card at random from opponent?s hand, and place on top of owner?s draw pile.  If no Lost Soul is rescued this turn, discard the top two cards of opponent?s draw pile.",,,,,,,,
,Sent to Serve,Angel Wars,Silver,GE,3,3,Pl,,C, $0.25 ,, $-   ,,,0,"Place a good enhancement from hand on a human Hero of matching brigade in your territory.  When that Hero enters battle, activate that enhancement as a regular enhancement.  Discard it after that battle.",,,,,,,,
,Separate Ways,Angel Wars,Gray,EE,2,2,R,,C, $0.25 ,, $-   ,,,0,Return all but one Hero in battle to owners? territories. Prevent good banding abilities.,,,,,,,,
,Shadow,Angel Wars,Gray,EC,4,7,Se,,R, $1.00 ,, $-   ,,,0,"You may search draw pile for ?The Darkness? or ?Demonic Stronghold? and put it in play. If you have an enhancement in hand or Storehouse with ?Snare? in the title, you may play it.",,,,,,,,
,Spirit of Doubt,Angel Wars,Pale Green,EC,6,6,N,,C, $0.25 ,, $-   ,,,0,Negate the special ability of one Hero in battle. ,,,,,,,,
,Spiritual Beings,Angel Wars,Silver,GE,1,3,Im,,R, $1.00 ,, $-   ,,,0,Hero is immune to human Evil Characters.  Cannot be prevented by an evil card.,,,,,,,,
,Spiritual Realm,Angel Wars,Multi,Fortress,,,Pr,,R, $1.00 ,, $-   ,,,0,"Holder?s demons are protected from capture unless the capturing player has Tartaros in play.  While holder?s demon is in battle, weapon-class enhancements on human heroes are worth 0/0.",,,,,,,,
,Spiritual Sight,Angel Wars,Silver,GE,3,2,B,,C, $0.25 ,, $-   ,,,0,"Look at opponent?s hand.  If opponent has a demon in hand, holder may band a silver brigade Hero into battle.",,,,,,,,
,Spiritual Warfare,Angel Wars,M u l t i,GE,0,0,Ig,,R, $3.00 ,, $-   ,,,0,Hero ignores all human Evil Characters.,,,,,,,,
,Stealing,Angel Wars,Yellow,EE,2,2,D,,C, $0.25 ,, $-   ,,,0,Discard the top card of an opponent?s draw pile. Draw the top card of own draw pile.,,,,,,,,
,Subject Deserted,Angel Wars,Yellow,EE,0,0,Pl,,C, $0.25 ,, $-   ,,,0,"Place this card on a Lost Soul.  If it is not rescued by the end of the current player?s next turn, discard this card to place this Lost Soul beneath owner?s draw pile.",,,,,,,,
,Swift,Angel Wars,Silver,GC,9,9,Pr,W,C, $0.25 ,, $-   ,,,0,Protect holder?s sites from being discarded or removed from the game this turn.,,,,,,,,
,Swift Beings,Angel Wars,Silver,GE,2,5,Int,,C, $0.25 ,, $-   ,,,0,Interrupt the battle and play the next enhancement.,,,,,,,,
,Sword of the Fighter,Angel Wars,Silver,GE,3,2,Y,W,C, $0.25 ,, $-   ,,,0,"If Hero defeats a demon, you may remove it from the game.",,,,,,,,
,Sword of the Guardian,Angel Wars,Silver,GE,3,2,Im,W,C, $0.25 ,, $-   ,,,0,"If used by a Hero with strength 6/* or lower, Hero is immune to discard abilities on evil enhancements.",,,,,,,,
,Sword of the Rebellion,Angel Wars,Brown,EE,3,2,D,W,C, $0.25 ,, $-   ,,,0,"If used by a demon, holder may discard this card to discard a good enhancement in play.",,,,,,,,
,The Darkness,Angel Wars,Multi,Fortress,,,Y,,U, $10.00 ,, $-   ,,,0,"Place an Evil Character from hand face down here.  If an opponent begins a rescue attempt and chooses a blocker (or is unblocked), you may reveal this evil character. Blocking player may add it to the battle.  Otherwise return it face down.",,,,,,,,
,The Ends of the Earth,Angel Wars,Multi,site,,,A,,R, $2.00 ,, $-   ,,,0,"N.T. heroes have access to all sites.  If no N.T. hero is in battle, return this card from battle to territory. ",,,,,,,,
,The Name of the Lord,Angel Wars,Multi,Fortress,,,Y,,U, $12.00 ,, $-   ,,,0,"Set this fortress aside.  If you have initiative, you may interrupt the battle and place your Hero on this fortress.  Hero is protected from effect.   Each time you rescue a Lost Soul, return one Hero to your territory.  This fortress is protected from discard.",,,,,,,,
,The Pit,Angel Wars,Multi,Fortress,,,Pl,,R, $3.50 ,, $-   ,,,0,"Holder may place a demon with a toughness of */7 or greater on this fortress (or return it to territory) during his preparation phase.  While a demon is here, negate Three Nails.  ",,,,,,,,
,The Stars,Angel Wars,M u l t i,GE,0,0,B,,R, $1.00 ,, $-   ,,,0,Band up to two silver brigade Heroes into battle.,,,,,,,,
,Threatened Lives,Angel Wars,Brown,EE,0,0,Y,,C, $0.25 ,, $-   ,,,0,Place a site and its contents beneath owner?s draw pile.  Opponent may withdraw a Hero from battle to negate this.,,,,,,,,
,Torment,Angel Wars,Multi,EE,0,3,H,,U, $8.00 ,, $-   ,,,0,"Heal any Evil Character that is being discarded, except by a dominant.",,,,,,,,
,Twice Afflicted,Angel Wars,Gray,EE,2,4,Se,,C, $0.25 ,, $-   ,,,0,"If used by a demon, search discard pile for a gray brigade enhancement and play it.  Prevent all special abilities that return cards to a player?s hand.",,,,,,,,
,Unaware,Angel Wars,Gray,EE,0,4,Im,,R, $1.00 ,, $-   ,,,0,All demons in play are immune to selected Hero this turn.,,,,,,,,
,War in the Heavens,Angel Wars,Brown,EE,1,5,#,,C, $0.25 ,, $-   ,,,0,This card is worth 2/10 if used by a demon.,,,,,,,,
,Weakness,Angel Wars,Brown,EE,0,0,Pl,,R, $1.00 ,, $-   ,,,0,"Place this card in a player?s territory.  If that player controls a Hero in battle that has decreased toughness, the blocker has initiative to play the first enhancement in battle.",,,,,,,,
,Weapon of Light,Angel Wars,Silver,GE,2,*,,W,C, $0.25 ,, $-   ,,,0,Toughness is equal to the number of evil characters one opponent has in play.,,,,,,,,
,Weapon of the Holy,Angel Wars,Silver,GE,3,1,#,W,C, $0.25 ,, $-   ,,,0,Holder may discard this card to decrease a demon?s abilities by 5/5 until end of turn.,,,,,,,,
